0.785 -- 0.7875  &  919.240 $\pm$ 5.303 $\pm$ 11.787  & 1.0075 -- 1.01  &  53.705 $\pm$ 0.639 $\pm$ 0.736  \\ 
0.7875 -- 0.79  &  539.134 $\pm$ 3.262 $\pm$ 6.910  & 1.01 -- 1.0125  &  76.741 $\pm$ 0.645 $\pm$ 0.985  \\ 
0.79 -- 0.7925  &  336.835 $\pm$ 2.387 $\pm$ 4.318  & 1.0125 -- 1.015  &  126.211 $\pm$ 0.980 $\pm$ 1.619  \\ 
0.7925 -- 0.795  &  225.520 $\pm$ 1.780 $\pm$ 2.891  & 1.015 -- 1.0175  &  267.173 $\pm$ 2.181 $\pm$ 3.424  \\ 
0.795 -- 0.7975  &  163.164 $\pm$ 1.295 $\pm$ 2.092  & 1.0175 -- 1.02  &  552.239 $\pm$ 4.996 $\pm$ 7.078  \\ 
0.7975 -- 0.8  &  124.207 $\pm$ 1.286 $\pm$ 1.592  & 1.02 -- 1.0225  &  290.907 $\pm$ 2.727 $\pm$ 3.728  \\ 
0.8 -- 0.8025  &  97.049 $\pm$ 1.094 $\pm$ 1.246  & 1.0225 -- 1.025  &  74.305 $\pm$ 0.609 $\pm$ 0.954  \\ 
0.8025 -- 0.805  &  78.118 $\pm$ 0.993 $\pm$ 1.002  & 1.025 -- 1.0275  &  23.270 $\pm$ 0.410 $\pm$ 0.300  \\ 
0.805 -- 0.8075  &  65.131 $\pm$ 1.029 $\pm$ 0.835  & 1.0275 -- 1.03  &  9.109 $\pm$ 0.299 $\pm$ 0.117  \\ 
0.8075 -- 0.81  &  55.006 $\pm$ 0.894 $\pm$ 0.706  & 1.03 -- 1.0325  &  3.138 $\pm$ 0.207 $\pm$ 0.050  \\ 
0.81 -- 0.8125  &  48.036 $\pm$ 0.870 $\pm$ 0.618  & 1.0325 -- 1.035  &  0.935 $\pm$ 0.188 $\pm$ 0.041  \\ 
0.8125 -- 0.815  &  41.283 $\pm$ 0.821 $\pm$ 0.531  & 1.035 -- 1.0375  &  0.356 $\pm$ 0.125 $\pm$ 0.032  \\ 
0.815 -- 0.8175  &  37.556 $\pm$ 0.783 $\pm$ 0.483  & 1.0375 -- 1.04  &  0.035 $\pm$ 0.076 $\pm$ 0.026  \\ 
0.8175 -- 0.82  &  33.619 $\pm$ 0.725 $\pm$ 0.433  & 1.04 -- 1.0425  &  0.057 $\pm$ 0.057 $\pm$ 0.030  \\ 
0.82 -- 0.825  &  28.538 $\pm$ 0.733 $\pm$ 0.366  & 1.0425 -- 1.045  &  0.338 $\pm$ 0.077 $\pm$ 0.004  \\ 
0.825 -- 0.83  &  24.364 $\pm$ 0.658 $\pm$ 0.313  & 1.045 -- 1.0475  &  0.512 $\pm$ 0.073 $\pm$ 0.041  \\ 
0.83 -- 0.835  &  21.055 $\pm$ 0.585 $\pm$ 0.271  & 1.0475 -- 1.05  &  0.623 $\pm$ 0.066 $\pm$ 0.042  \\ 
0.835 -- 0.84  &  18.979 $\pm$ 0.651 $\pm$ 0.244  & 1.05 -- 1.055  &  1.038 $\pm$ 0.095 $\pm$ 0.022  \\ 
0.84 -- 0.845  &  17.583 $\pm$ 0.646 $\pm$ 0.226  & 1.055 -- 1.06  &  1.388 $\pm$ 0.138 $\pm$ 0.022  \\ 
0.845 -- 0.85  &  16.361 $\pm$ 0.653 $\pm$ 0.211  & 1.06 -- 1.065  &  1.771 $\pm$ 0.172 $\pm$ 0.027  \\ 
0.85 -- 0.855  &  15.400 $\pm$ 0.603 $\pm$ 0.198  & 1.065 -- 1.07  &  2.042 $\pm$ 0.221 $\pm$ 0.027  \\ 
0.855 -- 0.86  &  13.772 $\pm$ 0.547 $\pm$ 0.177  & 1.07 -- 1.075  &  2.140 $\pm$ 0.220 $\pm$ 0.029  \\ 
0.86 -- 0.865  &  12.715 $\pm$ 0.446 $\pm$ 0.163  & 1.075 -- 1.08  &  2.377 $\pm$ 0.219 $\pm$ 0.031  \\ 
0.865 -- 0.87  &  11.890 $\pm$ 0.435 $\pm$ 0.153  & 1.08 -- 1.09  &  3.059 $\pm$ 0.207 $\pm$ 0.039  \\ 
0.87 -- 0.875  &  11.673 $\pm$ 0.448 $\pm$ 0.152  & 1.09 -- 1.1  &  3.920 $\pm$ 0.243 $\pm$ 0.051  \\
