0.6 0.61 1.20635 0.268513
0.61 0.62 2.37979 0.520073
0.62 0.63 5.78818 1.21726
0.63 0.64 1.11241 0.219862
0.64 0.65 14.8295 2.67738
0.65 0.66 15.0512 2.40158
0.66 0.67 18.9921 2.60984
0.67 0.68 26.2851 3.08551
0.68 0.69 51.1464 5.22222
0.69 0.7 57.6216 5.31529
0.7 0.705 31.1153 2.70406
0.705 0.71 41.5322 3.51568
0.71 0.715 55.879 4.65079
0.715 0.72 74.0775 5.96097
0.72 0.725 81.4626 6.21605
0.725 0.73 111.003 8.00293
0.73 0.735 142.462 9.7126
0.735 0.74 188.828 12.204
0.74 0.745 218.547 13.7598
0.745 0.75 327.249 20.7141
0.75 0.7525 196.641 12.5892
0.7525 0.755 257.041 16.59
0.755 0.7575 321.865 20.1443
0.7575 0.76 394.589 22.9676
0.76 0.7625 504.625 27.094
0.7625 0.765 713.518 35.7066
0.765 0.7675 934.169 42.9164
0.7675 0.77 1285.83 53.3655
0.77 0.7725 1925.44 72.9442
0.7725 0.775 3038.84 102.844
0.775 0.7775 4942.76 142.696
0.7775 0.78 8900.59 214.228
0.78 0.7825 13703.6 282.768
0.7825 0.785 13446.1 286.474
0.785 0.7875 8544.09 211.495
0.7875 0.79 5439.93 153.376
0.79 0.7925 3666.02 114.502
0.7925 0.795 2569.34 86.5014
0.795 0.7975 1838.94 68.4135
0.7975 0.8 1282.88 56.2453
0.8 0.8025 971.679 47.8845
0.8025 0.805 739.43 38.6036
0.805 0.8075 651.897 34.9792
0.8075 0.81 570.312 30.0197
0.81 0.8125 527.239 27.2427
0.8125 0.815 454.8 23.6171
0.815 0.8175 419.83 21.4913
0.8175 0.82 363.696 17.9377
0.82 0.825 594.653 29.0755
0.825 0.83 481.675 23.2747
0.83 0.835 429.339 20.3953
0.835 0.84 417.941 19.4327
0.84 0.845 415.67 18.4511
0.845 0.85 367.233 16.4171
0.85 0.855 333.972 15.6761
0.855 0.86 318.148 16.0297
0.86 0.865 277.423 14.8156
0.865 0.87 272.491 14.887
0.87 0.875 256.004 13.8796
0.875 0.88 261.409 14.4517
0.88 0.885 260.624 14.3871
0.885 0.89 253.382 14.2584
0.89 0.895 233.953 13.5254
0.895 0.9 228.757 13.3911
0.9 0.905 233.545 13.3075
0.905 0.91 237.545 12.8488
0.91 0.915 258.573 13.4858
0.915 0.92 268.888 13.6446
0.92 0.925 263.581 13.0888
0.925 0.93 284.713 14.2785
0.93 0.935 284.699 14.7602
0.935 0.94 243.737 13.193
0.94 0.945 257.663 14.4199
0.945 0.95 253.352 13.5919
0.95 0.955 286.245 14.7919
0.955 0.96 302.13 15.2858
0.96 0.965 325.875 16.2599
0.965 0.97 314.128 15.2548
0.97 0.975 377.233 18.2191
0.975 0.98 405.984 21.1855
0.98 0.9825 205.764 11.7705
0.9825 0.985 222.944 14.0262
0.985 0.9875 232.647 15.3904
0.9875 0.99 217.703 14.4876
0.99 0.9925 258.746 16.917
0.9925 0.995 286.749 18.6027
0.995 0.9975 314.275 20.1404
0.9975 1 344.383 21.896
1 1.0025 379.925 24.2239
1.0025 1.005 457.73 28.5244
1.005 1.0075 557.617 32.417
1.0075 1.01 722.03 37.7243
1.01 1.0125 1103.41 50.2319
1.0125 1.015 1893.4 69.6312
1.015 1.0175 4096.75 103.561
1.0175 1.02 7408.35 142.491
1.02 1.0225 3365.93 103.094
1.0225 1.025 841.134 46.7445
1.025 1.0275 396.006 37.3925
1.0275 1.03 206.457 33.1666
1.03 1.0325 112.168 34.0975
1.0325 1.035 60.1024 33.7796
1.035 1.0375 53.0736 38.216
1.0375 1.04 93.5206 53.2624
1.04 1.0425 58.4062 93.1042
1.0425 1.045 -101.019 71.9044
1.045 1.0475 57.0751 62.596
1.0475 1.05 34.5605 10.3897
1.05 1.055 8.30491 1.61643
1.055 1.06 20.3165 3.11062
1.06 1.065 38.4469 4.86966
1.065 1.07 46.3453 4.82794
1.07 1.075 75.9841 6.40114
1.075 1.08 87.5569 5.83384
1.08 1.09 224.526 11.9292
1.09 1.1 228.822 9.73638
1.1 1.125 661.961 24.3791
1.125 1.15 744.938 25.4437
1.15 1.175 757.096 24.7877
1.175 1.2 835.58 27.0443
1.2 1.225 807.864 27.3293
1.225 1.25 860.757 28.8185
1.25 1.275 908.749 29.2217
1.275 1.3 938.482 28.7596
1.3 1.325 929.8 28.2298
1.325 1.35 913.219 28.0775
1.35 1.375 853.512 26.5196
1.375 1.4 821.385 25.5471
1.4 1.425 821.542 26.0286
1.425 1.45 815.591 25.4328
1.45 1.475 798.917 25.4082
1.475 1.5 805.526 26.661
1.5 1.525 815.817 27.2839
1.525 1.55 896.882 28.4937
1.55 1.575 1045.47 30.0087
1.575 1.6 1148.45 29.5059
1.6 1.625 1206.32 28.9034
1.625 1.65 1111.15 26.5557
1.65 1.675 927.214 23.7307
1.675 1.7 678.18 19.3088
1.7 1.725 586.044 18.3654
1.725 1.75 420.48 13.8376
1.75 1.775 398.947 13.6338
1.775 1.8 311.983 10.9638
1.8 1.825 309.968 11.1767
1.825 1.85 230.357 8.54941
1.85 1.875 234.236 9.03105
1.875 1.9 207.237 8.35504
1.9 1.925 171.653 7.20148
1.925 1.95 182.156 7.89902
1.95 1.975 115.391 5.12653
1.975 2 107.133 4.84625
2 2.025 151.071 6.9268
2.025 2.05 112.716 5.19233
2.05 2.075 104.639 4.82319
2.075 2.1 105.145 4.84936
2.1 2.125 130.392 6.03081
2.125 2.15 111.432 5.19602
2.15 2.175 110.123 5.21692
2.175 2.2 107.055 5.19728
